Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
twenty.soccer,available,80,12%,6,Mathematics,,,
adoptable.soccer,available,80,3%,9,"Education,Healthcare",,,
able.soccer,available,80,29%,4,"Business,Education,General,Technology",,,
seventh.soccer,available,80,10%,7,Mathematics,,,
superstar.soccer,expiring,80,18%,9,Entertainment,19/09/2015 16:44,19/09/2025 16:44,IONOS SE
sequent.soccer,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
trio.soccer,available,80,21%,4,Entertainment,,,
dorsal.soccer,available,80,6%,6,"Medicine,Science",,,
nine.soccer,available,80,24%,4,"General,Mathematics",,,
absolute.soccer,available,80,25%,8,"Engineering,Mathematics,Science",,,
absorbable.soccer,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
first.soccer,available,80,36%,5,"General,Mathematics",,,
some.soccer,available,80,32%,4,"Business,Media,Retail",,,
abundant.soccer,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
yard.soccer,available,80,26%,4,"Construction,General",,,
accurate.soccer,available,78,16%,8,"Engineering,Mathematics,Science",,,
abkhazian.soccer,available,78,1%,9,Geography,,,
twentysix.soccer,available,78,8%,10,Mathematics,,,
acceptable.soccer,available,78,5%,10,"Business,Hospitality,Retail",,,
honestly.soccer,available,78,9%,8,"Business,Law",,,
athletic.soccer,available,78,15%,8,"Health and Fitness,Sports",,,
adjacent.soccer,available,78,9%,8,"Construction,Real Estate,Retail",,,
recognized.soccer,available,78,3%,10,"Business,Education,Technology",,,
adrenal.soccer,available,78,4%,7,"Education,Healthcare,Science",,,
accidental.soccer,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
abkhasian.soccer,available,78,1%,9,Geography,,,
dormant.soccer,available,78,4%,7,"Medicine,Science",,,
acceptant.soccer,available,78,1%,9,"Education,Healthcare",,,
accepted.soccer,available,78,6%,8,"Business,Education,Technology",,,
accessible.soccer,available,78,21%,10,"Healthcare,Retail,Technology",,,
recognised.soccer,available,78,3%,10,"Business,Education,Technology",,,
abounding.soccer,available,78,2%,9,Agriculture,,,
low.soccer,available,78,20%,3,"Business,Finance",,,
adorable.soccer,available,78,8%,8,"Entertainment,Fashion,Retail",,,
sixtynine.soccer,available,78,8%,10,Mathematics,,,
absorptive.soccer,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
nineteenth.soccer,available,76,3%,10,Mathematics,,,
adherent.soccer,available,76,4%,8,"Politics,Religion",,,
energizing.soccer,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
abrasive.soccer,available,76,6%,8,"Construction,Manufacturing",,,
adipose.soccer,available,76,2%,7,"Healthcare,Science",,,
auxiliary.soccer,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
adhesive.soccer,available,76,7%,8,"Construction,Manufacturing,Technology",,,
firstrate.soccer,available,76,6%,10,Business,,,
improvise.soccer,available,76,4%,9,Entertainment,,,
resultant.soccer,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
eighteen.soccer,available,76,7%,8,Mathematics,,,
adaptable.soccer,available,76,9%,9,"Business,Education,Technology",,,
hundredth.soccer,available,76,1%,9,Mathematics,,,
threed.soccer,available,76,7%,7,Technology,,,
ague.soccer,available,76,2%,4,"Geography,Medicine,Science",,,
obscene.soccer,available,76,5%,7,"Entertainment,Media",,,
thousandth.soccer,available,76,1%,10,Mathematics,,,
ancillary.soccer,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
acoustic.soccer,available,76,14%,8,Science,,,
fifteenth.soccer,available,76,2%,9,Mathematics,,,
ventral.soccer,available,76,3%,7,Science,,,
adaptive.soccer,available,76,28%,8,"Business,Education,Technology",,,
thirteenth.soccer,available,76,4%,10,Mathematics,,,
incidental.soccer,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
addable.soccer,available,76,2%,7,"Engineering,Mathematics,Science",,,
fourteenth.soccer,available,76,1%,10,Mathematics,,,
sensation.soccer,available,74,7%,9,"Entertainment,Media,Sports",,,
mavin.soccer,available,74,7%,5,"Entertainment,Fashion,Technology",,,
activated.soccer,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
manageable.soccer,available,74,4%,10,"Business,Education,Technology",,,
broad.soccer,available,74,13%,5,"Entertainment,General,Media",,,
adenoid.soccer,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
achievable.soccer,available,74,4%,10,"Business,Education,Technology",,,
adamant.soccer,available,74,14%,7,Religion,,,
admirable.soccer,available,74,5%,9,"Business,Education,Healthcare",,,
realizable.soccer,available,74,1%,10,"Business,Education,Technology",,,
acuate.soccer,available,74,2%,6,"Engineering,Medicine,Science",,,
accepting.soccer,available,74,3%,9,"Education,Healthcare",,,
abnormal.soccer,available,74,16%,8,"Medicine,Science",,,
cleared.soccer,available,74,7%,7,"Healthcare,Law,Transportation",,,
supra.soccer,available,74,25%,5,"Medicine,Science",,,
aberrant.soccer,available,74,6%,8,"Medicine,Science",,,
skilful.soccer,available,74,3%,7,"Education,Health and Fitness,Sports",,,
single.soccer,available,74,19%,6,Sports,,,
adapted.soccer,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
adrenergic.soccer,available,74,1%,10,"Education,Healthcare,Science",,,
deep.soccer,resell,72,41%,4,"Engineering,Mathematics,Science",29/01/2025 03:44,29/01/2026 03:44,Dynadot Inc
improvize.soccer,available,72,1%,9,Entertainment,,,
aching.soccer,available,72,4%,6,Healthcare,,,
existent.soccer,available,72,3%,8,"Mathematics,Science",,,
abloom.soccer,available,72,5%,6,Agriculture,,,
ablaze.soccer,available,72,6%,6,Entertainment,,,
addicted.soccer,available,72,9%,8,Healthcare,,,
trey.soccer,available,72,14%,4,Sports,,,
seventieth.soccer,available,72,1%,10,Mathematics,,,
absolutist.soccer,available,72,1%,10,"Humanities,Law,Politics",,,
engrossed.soccer,available,72,1%,9,"Entertainment,Media,Technology",,,
adiabatic.soccer,available,72,3%,9,"Engineering,Science",,,
accusative.soccer,available,72,0%,10,"Humanities,Law",,,
adaptative.soccer,available,72,1%,10,"Business,Education,Technology",,,
liv.soccer,available,72,27%,3,Mathematics,,,
trinity.soccer,available,72,18%,7,Religion,,,
eightieth.soccer,available,72,1%,9,Mathematics,,,
abreast.soccer,available,72,2%,7,"Business,Technology",,,
lovely.soccer,available,72,26%,6,"Entertainment,Fashion,Retail",,,
adjunctive.soccer,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
champion.soccer,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
adjectival.soccer,available,72,1%,10,Education,,,
ternary.soccer,available,72,7%,7,Mathematics,,,
accustomed.soccer,available,72,1%,10,"Business,Education,Humanities",,,
absorbed.soccer,available,72,2%,8,"Entertainment,Media,Technology",,,
sixtieth.soccer,available,72,1%,8,Mathematics,,,
adonic.soccer,available,72,2%,6,"Arts,Education,Entertainment",,,
ninetieth.soccer,available,72,1%,9,Mathematics,,,
skillful.soccer,available,70,9%,8,"Education,Health and Fitness,Sports",,,
tiptop.soccer,available,70,24%,6,Fashion,,,
acuminate.soccer,available,70,1%,9,"Engineering,Medicine,Science",,,
stillborn.soccer,available,70,2%,9,"Medicine,Science",,,
absorbing.soccer,available,70,3%,9,"Entertainment,Media,Technology",,,
recumbent.soccer,available,70,2%,9,"Healthcare,Medicine,Science",,,
accumbent.soccer,available,70,1%,9,"Healthcare,Medicine,Science",,,
miserable.soccer,available,70,4%,9,Humanities,,,
adamantine.soccer,available,70,4%,10,Religion,,,
practiced.soccer,available,70,3%,9,"Education,Health and Fitness,Sports",,,
consequent.soccer,available,70,3%,10,"Business,Education,General,Technology",,,
gymnastic.soccer,available,70,3%,9,"Entertainment,Sports",,,
offhand.soccer,available,70,2%,7,Entertainment,,,
abulic.soccer,available,70,1%,6,Medicine,,,
admired.soccer,available,70,5%,7,"Business,Education,Healthcare",,,
abradant.soccer,available,70,1%,8,"Construction,Manufacturing",,,
adored.soccer,available,70,6%,6,"Entertainment,Fashion,Retail",,,
adjusted.soccer,available,70,5%,8,"Manufacturing,Retail,Technology",,,
lowdown.soccer,available,70,6%,8,"Entertainment,Media",,,
vindicated.soccer,available,68,2%,10,"Humanities,Law,Politics",,,
scurvy.soccer,available,68,3%,6,Humanities,,,
achaean.soccer,available,68,2%,7,Humanities,,,
acerate.soccer,available,68,1%,7,Science,,,
abducent.soccer,available,68,0%,8,Medicine,,,
aberdonian.soccer,available,68,1%,10,Geography,,,
ablative.soccer,available,68,3%,8,Science,,,
fortieth.soccer,available,68,0%,8,Mathematics,,,
ane.soccer,available,68,12%,3,Mathematics,,,
achaian.soccer,available,68,2%,7,Humanities,,,
disciple.soccer,available,68,14%,8,"Education,Religion",,,
threesome.soccer,available,68,5%,9,Entertainment,,,
septenary.soccer,available,68,1%,9,Mathematics,,,
licenced.soccer,available,68,2%,8,"Business,Healthcare,Insurance",,,
foursome.soccer,available,68,4%,8,Sports,,,
fiftieth.soccer,available,68,0%,8,Mathematics,,,
decorated.soccer,available,68,3%,9,"Entertainment,Fashion,Retail",,,
licensed.soccer,available,68,5%,8,"Business,Healthcare,Insurance",,,
stygian.soccer,available,68,5%,7,Humanities,,,
thirtieth.soccer,available,68,1%,9,Mathematics,,,
accredited.soccer,available,68,9%,10,"Business,Education,Healthcare",,,
abnaki.soccer,available,68,1%,6,Geography,,,
ennead.soccer,available,68,5%,6,Mathematics,,,
aroused.soccer,available,68,3%,7,"Entertainment,Health and Fitness",,,
overseas.soccer,available,68,12%,8,"Hospitality,Travel",,,
aculeate.soccer,available,68,1%,8,"Engineering,Medicine,Science",,,
sevener.soccer,available,68,1%,7,Mathematics,,,
activating.soccer,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
octonary.soccer,available,68,1%,8,Mathematics,,,
abkhas.soccer,available,68,0%,6,Geography,,,
four.soccer,available,66,27%,4,Mathematics,,,
thirty.soccer,available,66,8%,6,Mathematics,,,
eighty.soccer,available,66,6%,6,Mathematics,,,
onec.soccer,available,66,6%,5,Mathematics,,,
fifty.soccer,available,66,12%,5,Mathematics,,,
exonerated.soccer,available,66,2%,10,"Humanities,Law,Politics",,,
xvi.soccer,available,66,5%,3,Mathematics,,,
clv.soccer,available,66,10%,3,Mathematics,,,
xxv.soccer,available,66,6%,3,Mathematics,,,
xiii.soccer,available,66,9%,4,Mathematics,,,
sextet.soccer,available,66,1%,6,Entertainment,,,
acervate.soccer,available,66,1%,8,Science,,,
latest.soccer,available,66,18%,6,Technology,,,
acappella.soccer,available,66,6%,10,Entertainment,,,
tenner.soccer,available,66,5%,6,Finance,,,
six.soccer,available,66,26%,3,Mathematics,,,
abstinent.soccer,available,66,1%,9,"Health and Fitness,Religion",,,
deuce.soccer,available,66,9%,5,Sports,,,
teenager.soccer,available,66,4%,8,"Education,Entertainment,Healthcare",,,
maven.soccer,available,66,30%,5,"Entertainment,Fashion,Technology",,,
acrobatic.soccer,available,66,4%,9,"Entertainment,Sports",,,
xvii.soccer,available,66,5%,4,Mathematics,,,
century.soccer,available,66,17%,7,Education,,,
accessary.soccer,available,66,1%,9,"Business,Law,Technology",,,
according.soccer,available,66,3%,9,"Business,Education,Technology",,,
xviii.soccer,available,66,5%,5,Mathematics,,,
modish.soccer,available,66,5%,6,Fashion,,,
adopted.soccer,available,66,4%,7,"Education,Healthcare",,,
performing.soccer,available,66,6%,10,Entertainment,,,
buzzing.soccer,available,66,7%,7,"Entertainment,Media,Technology",,,
xxvi.soccer,available,66,3%,4,Mathematics,,,
adorned.soccer,available,66,5%,7,"Entertainment,Fashion,Retail",,,
xxii.soccer,available,66,6%,4,Mathematics,,,
ninety.soccer,available,66,11%,6,Mathematics,,,
xxi.soccer,available,66,10%,3,Mathematics,,,
xii.soccer,available,66,10%,3,Mathematics,,,
five.soccer,available,66,26%,4,Mathematics,,,
absolved.soccer,available,64,1%,8,"Humanities,Law,Religion",,,
scatty.soccer,available,64,1%,6,"Arts,Entertainment,Media",,,
adagio.soccer,available,64,14%,6,Entertainment,,,
nondrinker.soccer,available,64,1%,10,"Health and Fitness,Religion",,,
aflame.soccer,available,64,3%,6,Entertainment,,,
astringent.soccer,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
acentric.soccer,available,64,2%,8,Science,,,
ccc.soccer,available,64,38%,3,Mathematics,,,
deviant.soccer,available,64,12%,7,"Medicine,Science",,,
accordant.soccer,available,64,3%,9,"Arts,Entertainment",,,
accrued.soccer,available,62,2%,7,"Banking,Finance,Insurance",,,
cumulative.soccer,available,62,2%,10,"Banking,Finance,Insurance",,,
accusing.soccer,available,62,1%,8,Law,,,
admissible.soccer,available,62,1%,10,"Education,Healthcare,Law",,,
quartet.soccer,available,62,7%,7,"Arts,Entertainment",,,
fortyfour.soccer,available,62,6%,10,Mathematics,,,
aborigine.soccer,available,62,1%,9,Humanities,,,
playacting.soccer,available,62,1%,10,Entertainment,,,
aufait.soccer,available,62,3%,7,"Fashion,Media",,,
roughly.soccer,available,62,3%,7,"Business,Media,Technology",,,
wrapped.soccer,available,62,13%,7,"Fashion,Hospitality,Retail",,,
longdozen.soccer,available,62,2%,10,Mathematics,,,
chiliad.soccer,available,62,2%,7,Mathematics,,,
nail.soccer,available,62,16%,4,"Construction,Fashion,General,Retail",,,
acidic.soccer,available,62,5%,6,"Food and Beverage,Science",,,
eighteenth.soccer,available,62,1%,10,Mathematics,,,
ensuant.soccer,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
activation.soccer,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
troika.soccer,available,62,8%,6,Politics,,,
activistic.soccer,available,62,1%,10,"Humanities,Politics",,,
eleventh.soccer,available,62,5%,8,Mathematics,,,
pungent.soccer,available,62,1%,7,Food and Beverage,,,
orso.soccer,available,62,9%,5,"Business,Media,Technology",,,
adjuvant.soccer,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
twodozen.soccer,available,62,1%,9,Mathematics,,,
adoptive.soccer,available,62,1%,8,"Education,Healthcare",,,
sixteenth.soccer,available,62,1%,9,Mathematics,,,
exculpated.soccer,available,62,1%,10,"Humanities,Law,Politics",,,
abo.soccer,available,62,15%,3,Science,,,
clxv.soccer,available,60,1%,4,Mathematics,,,
cxxx.soccer,available,60,4%,4,Mathematics,,,
clxx.soccer,available,60,3%,4,Mathematics,,,
cautionary.soccer,available,60,1%,10,"Business,Education,Healthcare",,,
abashed.soccer,available,60,1%,7,Humanities,,,
idolised.soccer,available,60,1%,8,"Entertainment,Fashion,Retail",,,
clxxx.soccer,available,60,1%,5,Mathematics,,,
abstainer.soccer,available,60,0%,9,"Health and Fitness,Religion",,,
cxl.soccer,available,60,7%,3,Mathematics,,,
adnate.soccer,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
paunchy.soccer,available,60,0%,7,"Health and Fitness,Medicine",,,
cxxv.soccer,available,60,1%,4,Mathematics,,,
abstemious.soccer,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
clxxv.soccer,available,60,1%,5,Mathematics,,,
cxv.soccer,available,60,4%,3,Mathematics,,,
annexal.soccer,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
adnexal.soccer,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxxxv.soccer,available,60,2%,5,Mathematics,,,
acceptive.soccer,available,60,1%,9,"Education,Healthcare",,,
xcl.soccer,available,60,5%,3,Mathematics,,,
aboveboard.soccer,available,60,5%,10,"Business,Law",,,
clx.soccer,available,60,10%,3,Mathematics,,,
octet.soccer,available,60,12%,5,Arts,,,
idolized.soccer,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxlv.soccer,available,60,2%,4,Mathematics,,,
sixty.soccer,available,60,13%,5,Mathematics,,,
eightysix.soccer,available,60,7%,10,Mathematics,,,
tertiary.soccer,available,60,4%,8,Education,,,
cxx.soccer,available,60,10%,3,Mathematics,,,
thou.soccer,available,60,7%,4,Mathematics,,,
tercet.soccer,available,59,2%,6,"Arts,Entertainment,Media",,,
accoutred.soccer,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
tetrad.soccer,available,58,5%,6,Mathematics,,,
fourth.soccer,available,58,13%,6,Mathematics,,,
quintet.soccer,available,58,8%,7,"Arts,Entertainment",,,
alacarte.soccer,available,58,11%,10,Food and Beverage,,,
seventy.soccer,available,58,7%,7,Mathematics,,,
accretive.soccer,available,58,6%,9,"Banking,Finance,Insurance",,,
niner.soccer,available,58,5%,5,Mathematics,,,
eighter.soccer,available,58,2%,7,Mathematics,,,
centesimal.soccer,available,58,1%,10,Mathematics,,,
acyclic.soccer,available,58,4%,7,"Engineering,Mathematics,Science",,,
aucourant.soccer,available,58,3%,10,"Fashion,Media",,,
addible.soccer,available,58,2%,7,"Engineering,Mathematics,Science",,,
acetic.soccer,available,58,1%,6,"Food and Beverage,Science",,,
sixtyone.soccer,available,58,3%,9,Mathematics,,,
sixer.soccer,available,58,5%,5,Sports,,,
twelfth.soccer,available,58,2%,7,Mathematics,,,
octad.soccer,available,58,5%,5,Mathematics,,,
adhoc.soccer,available,58,24%,6,"Business,Engineering,Technology",,,
lxxx.soccer,available,58,2%,4,Mathematics,,,
addressed.soccer,available,58,3%,9,"Business,Technology,Telecommunications",,,
adjustive.soccer,available,58,1%,9,"Manufacturing,Retail,Technology",,,
linear.soccer,available,58,22%,6,"Engineering,Mathematics,Science",,,
abandoned.soccer,available,58,10%,9,"Construction,Real Estate",,,
fifth.soccer,available,58,12%,5,Mathematics,,,
closeto.soccer,available,58,3%,8,"Business,Media,Technology",,,
cypher.soccer,available,58,29%,6,Mathematics,,,
sextuplet.soccer,available,58,1%,9,Healthcare,,,
heptad.soccer,available,58,1%,6,Mathematics,,,
ache.soccer,available,58,7%,4,Healthcare,,,
abuzz.soccer,available,58,5%,5,"Entertainment,Media,Technology",,,
actuarial.soccer,available,58,8%,9,"Finance,Insurance,Mathematics",,,
abridged.soccer,available,58,4%,8,Media,,,
fourscore.soccer,available,58,4%,9,Mathematics,,,
abused.soccer,available,58,5%,6,"Healthcare,Law",,,
hexad.soccer,available,58,4%,5,Mathematics,,,
offhanded.soccer,available,58,1%,9,Entertainment,,,
justabout.soccer,available,58,3%,10,"Business,Media,Technology",,,
enwrapped.soccer,available,58,0%,9,"Entertainment,Fashion,Media",,,
super.soccer,expiring,58,47%,5,Business,08/09/2015 17:16,08/09/2025 17:16,1API GmbH
pentad.soccer,available,58,2%,6,Mathematics,,,
adient.soccer,available,58,4%,6,"Medicine,Science",,,
lxxviii.soccer,available,58,1%,7,Mathematics,,,
accented.soccer,available,58,3%,8,"Arts,Entertainment",,,
addled.soccer,available,56,2%,6,Entertainment,,,
admittable.soccer,available,56,1%,10,"Education,Healthcare,Hospitality",,,
lii.soccer,available,56,7%,3,Mathematics,,,
xxxiii.soccer,available,56,2%,6,Mathematics,,,
xxix.soccer,available,56,4%,4,Mathematics,,,
fortysix.soccer,available,56,3%,9,Mathematics,,,
fiftytwo.soccer,available,56,6%,9,Mathematics,,,
ilx.soccer,available,56,5%,3,Mathematics,,,
aone.soccer,available,56,15%,5,Food and Beverage,,,
thirtytwo.soccer,available,56,5%,10,Mathematics,,,
xxxviii.soccer,available,56,1%,7,Mathematics,,,
lvii.soccer,available,56,1%,4,Mathematics,,,
xxiv.soccer,available,56,5%,4,Mathematics,,,
fortyone.soccer,available,56,4%,9,Mathematics,,,
admissive.soccer,available,56,1%,9,"Education,Healthcare,Hospitality",,,
appressed.soccer,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
potbellied.soccer,available,56,0%,10,"Health and Fitness,Medicine",,,
thirtyone.soccer,available,56,5%,10,Mathematics,,,
liii.soccer,available,56,4%,4,Mathematics,,,
fiftynine.soccer,available,56,4%,10,Mathematics,,,
xliv.soccer,available,56,2%,4,Mathematics,,,
xlii.soccer,available,56,5%,4,Mathematics,,,
triad.soccer,available,56,15%,5,Arts,,,
xxxi.soccer,available,56,9%,4,Mathematics,,,
accoutered.soccer,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
fortynine.soccer,available,56,3%,10,Mathematics,,,
xlvi.soccer,available,56,3%,4,Mathematics,,,
thirtysix.soccer,available,56,5%,10,Mathematics,,,
xli.soccer,available,56,5%,3,Mathematics,,,
xxiii.soccer,available,56,5%,5,Mathematics,,,
terzetto.soccer,available,56,3%,8,Arts,,,
xxviii.soccer,available,56,1%,6,Mathematics,,,
abdominous.soccer,available,56,0%,10,"Health and Fitness,Medicine",,,
fiftyfour.soccer,available,56,3%,10,Mathematics,,,
xxxiv.soccer,available,56,1%,5,Mathematics,,,
admittible.soccer,available,56,1%,10,"Education,Healthcare,Hospitality",,,
xlv.soccer,available,56,6%,3,Mathematics,,,
halfdozen.soccer,available,56,1%,10,Mathematics,,,
fiftyfive.soccer,available,56,7%,10,Mathematics,,,
xxvii.soccer,available,56,3%,5,Mathematics,,,
fortytwo.soccer,available,56,17%,9,Mathematics,,,
